"Term","Term Description","Session","Class","Subject","Catalog Nbr","Section","Class Nbr","Component","Description","Academic Organization","Location Code","Instruction Mode","Enrollment Total","Enrollment Capacity","Wait List Total","List of Students"
"2268","Fall 2026","1","CASAH 490E CI","CASAH","490E","CI","3065","IND","Seminar: History of Art","SAB","LONDON","P","0","10","0","List of Students"
"2268","Fall 2026","1","CASAH 491 A1","CASAH","491","A1","3066","DRS","DS: ART HISTORY","CASAH","CHARLESRIV","P","0","5","0","List of Students"
"2268","Fall 2026","1","CASAH 491 B1","CASAH","491","B1","6718","DRS","DS: ART HISTORY","CASAH","CHARLESRIV","P","0","1","0","List of Students"
"2268","Fall 2026","1","CASAH 491 C1","CASAH","491","C1","6719","DRS","DS: ART HISTORY","CASAH","CHARLESRIV","P","0","1","0","List of Students"
"2268","Fall 2026","1","CASAH 491 D1","CASAH","491","D1","6720","DRS","DS: ART HISTORY","CASAH","CHARLESRIV","P","1","1","0","List of Students"
"2268","Fall 2026","1","CASAH 493E CI","CASAH","493E","CI","7393","IND","Special Topics in Hist of Art","SAB","LONDON","P","0","10","0","List of Students"
"2268","Fall 2026","1","CASAH 501 A1","CASAH","501","A1","17999","DRS","Practicum in Museum Studies","CASAH","CHARLESRIV","P","0","5","0","List of Students"
"2268","Fall 2026","1","CASAH 505E DP","CASAH","505E","DP","3067","IND","Internship in Art/Architecture","SAB","IRELAND","P","1","32","0","List of Students"
"2268","Fall 2026","1","CASAH 505E HW","CASAH","505E","HW","3068","IND","Internship in Art/Architecture","SAB","EXTENSION","P","0","100","0","List of Students"
"2268","Fall 2026","DYN","CASAH 505E LP","CASAH","505E","LP","3069","IND","Internship in Art/Architecture","SAB","LONDON","P","0","30","0","List of Students"
"2268","Fall 2026","1","CASAH 505E MP","CASAH","505E","MP","3070","IND","Internship in Art/Architecture","SAB","SPAIN","P","0","20","0","List of Students"
"2268","Fall 2026","DYN","CASAH 505E PP","CASAH","505E","PP","3071","IND","Internship in Art/Architecture","SAB","FRANCE","P","2","40","0","List of Students"
"2268","Fall 2026","DYN","CASAH 505E PV","CASAH","505E","PV","3072","IND","Internship in Art/Architecture","SAB","ITALY","P","1","10","0","List of Students"
"2268","Fall 2026","1","CASAH 505E SD","CASAH","505E","SD","3073","IND","Internship in Art/Architecture","SAB","AUSTRALIA","P","1","150","0","List of Students"
"2268","Fall 2026","1","CASAH 505E SH","CASAH","505E","SH","3074","IND","Internship in Art/Architecture","SAB","EXTENSION","P","0","25","0","List of Students"
